threshod,precision,recall,TP_num_sum,P_num_sum
0.0,0.2459736493607923,0.12407680914801376,504,2049
0.005555555555555556,0.2459736493607923,0.12407680914801376,504,2049
0.011111111111111112,0.2459736493607923,0.12407680914801376,504,2049
0.016666666666666666,0.2459736493607923,0.12407680914801376,504,2049
0.022222222222222223,0.2459736493607923,0.12407680914801376,504,2049
0.02777777777777778,0.2459736493607923,0.12407680914801376,504,2049
0.03333333333333333,0.2459736493607923,0.12407680914801376,504,2049
0.03888888888888889,0.2464547714109791,0.12407680914801376,504,2045
0.044444444444444446,0.24705882722029987,0.12407680914801376,504,2040
0.05,0.24742268410690876,0.12407680914801376,504,2037
0.05555555555555556,0.24827586577204006,0.12407680914801376,504,2030
0.061111111111111116,0.24901186141792558,0.12407680914801376,504,2024
0.06666666666666667,0.25112107996451877,0.12407680914801376,504,2007
0.07222222222222223,0.25275827857192434,0.12407680914801376,504,1994
0.07777777777777778,0.2546740815832537,0.12407680914801376,504,1979
0.08333333333333334,0.2559674999696927,0.12407680914801376,504,1969
0.08888888888888889,0.2584615422642998,0.12407680914801376,504,1950
0.09444444444444444,0.2610046646245227,0.12407680914801376,504,1931
0.1,0.26415094725287763,0.12407680914801376,504,1908
0.10555555555555556,0.2663130012397188,0.12358444085774387,502,1885
0.11111111111111112,0.2673796830621407,0.12309207256747397,500,1870
0.11666666666666667,0.2675675715266618,0.12186115184179923,495,1850
0.12222222222222223,0.26988480927106523,0.12112259940639439,492,1823
0.1277777777777778,0.2707641236391798,0.12038404697098953,489,1806
0.13333333333333333,0.27323944071414397,0.11939931039044975,485,1775
0.1388888888888889,0.2760207057158096,0.11816838966477501,480,1739
0.14444444444444446,0.2771295258043785,0.11693746893910027,475,1714
0.15,0.27952522682774344,0.11595273235856048,471,1685
0.15555555555555556,0.28040743391008127,0.11521417992315564,468,1669
0.16111111111111112,0.28111718712132855,0.1139832591974809,463,1647
0.16666666666666669,0.2829721406627112,0.1125061543266712,457,1615
0.17222222222222222,0.2831021482780445,0.11053668116559162,449,1586
0.17777777777777778,0.28516624497975546,0.10979812873018678,446,1564
0.18333333333333335,0.28580729631635876,0.10807483971424214,439,1536
