threshod,precision,recall,TP_num_sum,P_num_sum
0.0,1.4084505058520414e-07,0.0,0,71
0.005555555555555556,1.4084505058520414e-07,0.0,0,71
0.011111111111111112,1.4084505058520414e-07,0.0,0,71
0.016666666666666666,1.4084505058520414e-07,0.0,0,71
0.022222222222222223,1.4084505058520414e-07,0.0,0,71
0.02777777777777778,1.4084505058520414e-07,0.0,0,71
0.03333333333333333,1.4084505058520414e-07,0.0,0,71
0.03888888888888889,1.4084505058520414e-07,0.0,0,71
0.044444444444444446,1.4084505058520414e-07,0.0,0,71
0.05,1.4084505058520414e-07,0.0,0,71
0.05555555555555556,1.4084505058520414e-07,0.0,0,71
0.061111111111111116,1.4084505058520414e-07,0.0,0,71
0.06666666666666667,1.4084505058520414e-07,0.0,0,71
0.07222222222222223,1.4084505058520414e-07,0.0,0,71
0.07777777777777778,1.4084505058520414e-07,0.0,0,71
0.08333333333333334,1.4084505058520414e-07,0.0,0,71
0.08888888888888889,1.428571224489825e-07,0.0,0,70
0.09444444444444444,1.428571224489825e-07,0.0,0,70
0.1,1.4492751522789636e-07,0.0,0,69
0.10555555555555556,1.4492751522789636e-07,0.0,0,69
0.11111111111111112,1.4705880190311737e-07,0.0,0,68
0.11666666666666667,1.492537090666106e-07,0.0,0,67
0.12222222222222223,1.5151512855831386e-07,0.0,0,66
0.1277777777777778,1.5151512855831386e-07,0.0,0,66
0.13333333333333333,1.5384613017751845e-07,0.0,0,65
0.1388888888888889,1.5384613017751845e-07,0.0,0,65
0.14444444444444446,1.5624997558594132e-07,0.0,0,64
0.15,1.5873013353489945e-07,0.0,0,63
0.15555555555555556,1.639343993550165e-07,0.0,0,61
0.16111111111111112,1.6666663888889353e-07,0.0,0,60
0.16666666666666669,1.694914966963565e-07,0.0,0,59
0.17222222222222222,1.7241376337693735e-07,0.0,0,58
0.17777777777777778,1.7543856571253234e-07,0.0,0,57
0.18333333333333335,1.7857139668367917e-07,0.0,0,56
0.18888888888888888,1.7857139668367917e-07,0.0,0,56
0.19444444444444445,1.8181814876033659e-07,0.0,0,55
0.2,1.8518515089163872e-07,0.0,0,54
0.20555555555555557,1.923076553254509e-07,0.0,0,52
0.2111111111111111,1.960783929258053e-07,0.0,0,51
0.21666666666666667,1.99999960000008e-07,0.0,0,50
0.22222222222222224,2.0408159100375695e-07,0.0,0,49
0.22777777777777777,2.0408159100375695e-07,0.0,0,49
0.23333333333333334,2.083332899305646e-07,0.0,0,48
0.2388888888888889,2.1276591217746549e-07,0.0,0,47
0.24444444444444446,2.2222217283951715e-07,0.0,0,45
0.25,2.2222217283951715e-07,0.0,0,45
0.2555555555555556,2.2222217283951715e-07,0.0,0,45
0.2611111111111111,2.2222217283951715e-07,0.0,0,45
0.26666666666666666,2.2727267561984644e-07,0.0,0,44
0.27222222222222225,2.3255808545160803e-07,0.0,0,43
0.2777777777777778,2.43902379536005e-07,0.0,0,41
0.2833333333333333,2.43902379536005e-07,0.0,0,41
0.2888888888888889,2.43902379536005e-07,0.0,0,41
0.29444444444444445,2.43902379536005e-07,0.0,0,41
0.3,2.5641019066405367e-07,0.0,0,39
0.3055555555555556,2.5641019066405367e-07,0.0,0,39
0.3111111111111111,2.5641019066405367e-07,0.0,0,39
0.31666666666666665,2.6315782548478277e-07,0.0,0,38
0.32222222222222224,2.6315782548478277e-07,0.0,0,38
0.3277777777777778,2.6315782548478277e-07,0.0,0,38
0.33333333333333337,2.6315782548478277e-07,0.0,0,38
0.3388888888888889,2.777777006173054e-07,0.0,0,36
0.34444444444444444,2.777777006173054e-07,0.0,0,36
0.35000000000000003,2.8571420408165597e-07,0.0,0,35
0.35555555555555557,2.8571420408165597e-07,0.0,0,35
0.3611111111111111,3.030302112029663e-07,0.0,0,33
0.3666666666666667,3.1249990234378054e-07,0.0,0,32
0.37222222222222223,3.1249990234378054e-07,0.0,0,32
0.37777777777777777,3.2258054110305127e-07,0.0,0,31
0.38333333333333336,3.448274673008734e-07,0.0,0,29
0.3888888888888889,3.571427295918823e-07,0.0,0,28
0.3944444444444445,3.571427295918823e-07,0.0,0,28
0.4,3.7037023319620994e-07,0.0,0,27
0.40555555555555556,4.5454524793397825e-07,0.0,0,22
0.41111111111111115,4.5454524793397825e-07,0.0,0,22
0.4166666666666667,4.5454524793397825e-07,0.0,0,22
0.4222222222222222,4.761902494332146e-07,0.0,0,21
0.4277777777777778,4.761902494332146e-07,0.0,0,21
0.43333333333333335,4.999997500001251e-07,0.0,0,20
0.4388888888888889,4.999997500001251e-07,0.0,0,20
0.4444444444444445,4.999997500001251e-07,0.0,0,20
0.45,4.999997500001251e-07,0.0,0,20
0.45555555555555555,4.999997500001251e-07,0.0,0,20
0.46111111111111114,4.999997500001251e-07,0.0,0,20
0.4666666666666667,5.263155124655198e-07,0.0,0,19
0.47222222222222227,5.882349480970894e-07,0.0,0,17
0.4777777777777778,6.666662222225186e-07,0.0,0,15
0.48333333333333334,6.666662222225186e-07,0.0,0,15
0.48888888888888893,6.666662222225186e-07,0.0,0,15
0.49444444444444446,6.666662222225186e-07,0.0,0,15
0.5,7.142852040819971e-07,0.0,0,14
0.5055555555555555,7.692301775152482e-07,0.0,0,13
0.5111111111111112,7.692301775152482e-07,0.0,0,13
0.5166666666666667,7.692301775152482e-07,0.0,0,13
0.5222222222222223,7.692301775152482e-07,0.0,0,13
0.5277777777777778,7.692301775152482e-07,0.0,0,13
0.5333333333333333,7.692301775152482e-07,0.0,0,13
0.5388888888888889,7.692301775152482e-07,0.0,0,13
